Survived,Sex,Pclass0.0-19.0,Pclass20.0-39.0,Pclass40.0-59.0,Pclass60.0-79.0,Pclass80.0-Inf,Age1.0-1.0,Age2.0-2.0,Age3.0-Inf,Siblings/Spouses Aboard0.0-0.0,Siblings/Spouses Aboard1.0-1.0,Siblings/Spouses Aboard2.0-2.0,Siblings/Spouses Aboard3.0-4.0,Siblings/Spouses Aboard5.0-Inf,Parents/Children Aboard0.0-0.0,Parents/Children Aboard1.0-1.0,Parents/Children Aboard2.0-2.0,Parents/Children Aboard3.0-Inf,Fare0.0-49.0,Fare50.0-99.0,Fare100.0-199.0,Fare200.0-299.0,Fare300.0-Inf
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
